LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
8.0,0.03323263,-0.21396397,-0.5134788,-0.12305939,-0.14155251,8729.0
8.0,0.21299094,-0.16441442,-0.38425332,0.0367469,-0.00304414,8593.0
10.0,-0.9164154,-0.41666666,-0.7804878,-0.7611451,-0.5246068,4761.0
4.0,-0.055388205,1.1058558,0.39495078,0.23871243,0.29883307,13305.0
4.0,0.28247735,0.990991,1.4415917,0.6688506,0.9411466,14931.0
4.0,0.3247734,0.5923423,1.4257596,0.29226607,0.080162354,11470.0
10.0,0.38897282,-0.3310811,-0.8609328,-0.6603048,-0.7412481,7437.0
1.0,0.10422961,0.09234234,-0.6093282,0.29255092,0.17250127,13029.0
5.0,0.23942599,1.3265766,2.5002139,0.6597351,0.80466765,18045.0
8.0,-0.6404834,-0.30405405,-0.34189132,0.033043727,-0.09589041,9647.0
12.0,0.6988927,-0.14414415,0.57766366,-0.57484686,-0.32825977,7594.0
12.0,0.31570998,0.22747748,0.8669234,-0.43298677,-0.38711315,9394.0
10.0,0.08081571,-0.5225225,-0.9503637,-1.2100841,-0.7295789,5086.0
10.0,0.8912387,0.10810811,0.70988446,-0.4580544,-0.40943682,11796.0
10.0,1.2492447,-0.9031532,-0.8451006,-1.0608176,-0.85134447,2127.0
1.0,-0.20443052,2.195946,-0.23919556,0.90186584,0.38711315,14211.0
1.0,0.0407855,1.9797298,-0.096705176,0.46546075,0.1298833,13357.0
5.0,-0.07401813,0.6621622,0.45400086,0.17120068,0.14814815,12009.0
5.0,-0.2545317,-0.08558559,-0.15618314,0.28970233,-0.13597159,8711.0
8.0,-0.6112794,0.8558559,-0.11339324,-0.042728957,-0.5002537,8264.0
1.0,-0.3470544,-0.25225225,-0.24133505,0.24754308,-0.10857433,9822.0
12.0,0.16993958,0.9301802,0.7783483,-0.18857713,-0.05936073,11982.0
5.0,-0.11178248,0.8400901,0.7047497,0.38256657,0.18214105,13127.0
10.0,1.0536253,-0.3626126,0.13649979,-0.52100843,-0.22374429,5993.0
12.0,1.0005665,-0.1554054,0.51818573,-0.57484686,-0.22678843,6290.0
12.0,1.0005665,-0.1554054,0.51818573,-0.57484686,-0.22678843,6290.0
4.0,-0.3021148,1.7972972,0.54129225,0.18886198,-0.033992898,12708.0
10.0,0.70090634,-0.8558559,-0.830552,-0.98732376,-0.74530697,2432.0
8.0,-0.21665968,-0.6171171,-0.39623448,-0.124768555,-0.1638762,7382.0
8.0,-0.13172235,-0.5855856,-0.34317502,0.112519585,-0.017250126,8815.0
10.0,-1.1404834,-0.6148649,-0.7479675,-0.79732233,-0.3561644,4918.0
4.0,-0.18957704,1.2815316,0.6166025,0.334995,0.28361237,13191.0
4.0,0.029456193,1.6486486,1.7004707,0.1378721,0.03500761,15108.0
4.0,0.3194864,0.23198198,1.3277706,0.13445379,0.27600202,12395.0
1.0,0.38746223,0.6081081,-0.76979035,0.33556473,0.12480974,11864.0
5.0,0.19297583,1.5292792,2.5241764,0.70160943,0.6428209,18791.0
8.0,-0.9259819,-0.38513514,-0.31236628,0.031049708,0.14611872,9419.0
12.0,0.3308157,0.19594595,0.85323066,-0.57085884,-0.30847284,8187.0
12.0,0.31268883,-0.10135135,0.42019683,-0.572568,-0.5251142,7990.0
10.0,0.16767372,-0.6238739,-1.2066752,-0.65289843,-0.5601218,4835.0
10.0,0.98225075,-0.0990991,0.92255026,-0.28884774,-0.29680365,9857.0
10.0,1.05287,-0.7905405,-0.63457423,-1.1132318,-0.85438865,3227.0
1.0,-0.831571,2.5990992,-0.053915277,0.9047144,0.49162862,11138.0
1.0,-0.39199397,2.3445945,0.007274283,0.5643071,0.2648402,11330.0
5.0,0.17673716,0.2454955,-0.20924261,0.1837345,0.046676815,12735.0
5.0,-0.38670695,0.15315315,-0.18314078,0.34354082,-0.032470826,11113.0
8.0,-0.46374622,0.22522523,-0.18784767,0.03874092,-0.28158295,6490.0
8.0,-0.99546826,0.7207207,-0.18528028,0.09884632,-0.35667175,7762.0
12.0,0.5708716,0.5382883,0.13692768,-0.0925794,-0.145104,13027.0
5.0,0.28247735,0.43693694,0.035943516,0.3911124,0.32166412,13934.0
12.0,0.4592145,1.150901,2.1720154,-0.27944738,0.04870624,9807.0
4.0,-0.16012084,1.3513514,0.45742404,0.122489676,-0.07559615,13580.0
10.0,0.70694864,-0.8536036,-0.93367565,-0.9129754,-0.6357179,2942.0
8.0,0.2560423,-0.5225225,-0.572101,-0.2828657,-0.33333334,6693.0
8.0,0.19033232,-0.47522524,-0.50748825,0.0558325,-0.05530188,8442.0
8.0,-0.94561934,-0.5045045,-0.699187,-0.95257086,-0.5961441,4598.0
4.0,0.02265861,0.7477477,0.35772356,0.2991027,0.5449011,12344.0
5.0,-0.16087614,1.0225226,0.24347454,0.6942031,0.5479452,12860.0
7.0,-1.9486405,-1.3738738,-1.6914848,-0.9153967,-0.92212075,4001.0
7.0,-1.9486405,-1.3738738,-1.6914848,-0.9153967,-0.92212075,4001.0
7.0,-1.9486405,-1.3738738,-1.6914848,-0.9153967,-0.92212075,4001.0
4.0,0.40735194,0.6621622,0.821994,0.74348384,0.95585996,13160.0
4.0,0.45266917,0.3783784,1.1382114,0.13559322,0.31506848,13784.0
1.0,0.2980861,0.03153153,-0.8241335,0.2982481,0.17250127,12974.0
8.0,0.40256798,-0.5315315,-0.94822425,-0.0997009,-0.22678843,10233.0
5.0,0.4070997,0.3963964,1.5186136,0.6668566,0.6352106,16610.0
1.0,-0.73111784,-0.2837838,-0.49037227,0.053838484,-0.11466261,9102.0
12.0,0.5294562,0.8063063,1.7000428,-0.52499646,-0.3267377,9308.0
12.0,0.33031267,0.10585585,0.46854943,-0.46204245,-0.44901064,7974.0
10.0,0.2794562,-0.990991,-1.1129653,-0.6036177,-0.49467275,4227.0
10.0,1.1500498,-1.0923424,-1.1818571,-1.0608176,-0.85895485,2038.0
7.0,1.0370091,-1.1036036,-1.2053915,-1.0400227,-0.7798072,2245.0
10.0,0.91087615,-0.7522523,-0.46683782,-0.45776954,-0.26281077,10486.0
10.0,1.3530967,-0.8423423,-0.73341894,-1.0935764,-0.86250633,2382.0
10.0,0.91691846,-0.9481982,-0.89045787,-0.90813273,-0.6712329,3709.0
10.0,1.2223066,-0.7387387,-0.54514337,-1.0055548,-0.74429226,3149.0
1.0,-0.32175228,1.4031532,-0.02610184,0.85429424,0.48046675,11866.0
1.0,0.012084592,1.2117118,-0.016688062,0.44580543,0.36225265,13032.0
5.0,0.01510574,0.6936937,0.5982028,0.031904288,-0.05225774,13046.0
5.0,-0.7114804,0.10135135,-0.014120667,0.26919243,-0.107559614,8856.0
8.0,-0.5377644,0.21621622,-0.2991014,-0.46004844,-0.6022324,6632.0
8.0,-1.0362538,0.7567568,-0.36970475,-0.092009686,-0.4895992,7149.0
12.0,0.29984894,0.8761261,0.5840822,-0.20652328,-0.23135464,12704.0
5.0,0.0694864,0.8175676,0.5656825,0.38171202,0.17250127,13726.0
12.0,0.50100756,0.7184685,2.2280703,-0.39424583,-0.09741248,8167.0
4.0,-0.24622357,2.0765765,0.50577664,0.066087455,0.04718417,12277.0
8.0,0.18126889,-0.3626126,-0.44244757,-0.35635948,-0.29375952,6798.0
8.0,0.21178277,-0.3018018,-0.33247754,0.030764848,-0.0025367835,8562.0
10.0,-0.9964758,-0.6418919,-0.715875,-0.8058681,-0.38863522,3950.0
4.0,-0.055388205,1.545045,0.75267434,0.27204102,0.24048707,13094.0
5.0,-0.41616315,1.527027,0.57766366,0.68451786,0.53221714,12787.0
7.0,-2.5453172,-1.168919,-1.3281986,-1.5470731,-1.4251649,2846.0
7.0,-2.5453172,-1.168919,-1.3281986,-1.5470731,-1.4251649,2846.0
7.0,-2.5453172,-1.168919,-1.3281986,-1.5470731,-1.4251649,2846.0
4.0,0.25302115,1.3873874,1.3076594,0.6110241,0.94063926,17185.0
4.0,0.18882175,1.6441442,1.8866068,-0.016806724,-0.024860477,16855.0
1.0,0.13141994,-0.0990991,-1.0265298,0.26976213,0.1978691,10908.0
8.0,0.074773416,-0.6148649,-1.1471972,-0.13473864,-0.20598681,8991.0
10.0,0.44033232,-0.8130631,-0.50620455,-0.50562596,-0.48554033,5310.0
5.0,0.260574,0.8851351,2.000428,0.7175616,0.73921865,15402.0
1.0,-0.66012084,-0.4481982,-0.46298674,0.025922233,-0.092846274,8676.0
12.0,0.40558913,0.5968468,1.5964912,-0.51588094,-0.41704717,9761.0
12.0,0.22532779,-0.1936937,0.27770647,-0.6155818,-0.48503298,7751.0
7.0,1.4652568,-0.7927928,-0.6427043,-0.99729383,-0.72602737,2923.0
10.0,1.1351963,-1.1328828,-1.2580231,-1.1143712,-0.9223744,2308.0
7.0,1.0649546,-1.1463964,-1.2832692,-1.069933,-0.84830034,2431.0
4.0,-0.026887922,0.31756756,0.31407788,0.005982054,0.13901573,17950.0
10.0,1.2280967,-0.7454955,-0.54129225,-0.38256657,-0.26179606,8188.0
10.0,1.2243203,-0.8783784,-0.79931533,-1.0981342,-0.9365804,2743.0
10.0,0.83308154,-0.9211712,-0.81557554,-0.9696624,-0.7351598,3641.0
10.0,1.1289018,-0.786036,-0.6332905,-1.0759151,-0.86453575,3200.0
1.0,-0.30626887,1.8355856,-0.2199401,0.87879217,0.456621,14386.0
1.0,0.011329305,1.6081082,-0.068035945,0.23244552,0.1476408,11675.0
5.0,-0.101208456,0.4189189,0.46598202,0.23928215,0.33434805,13370.0
