LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
8.0,-1.0181268,-0.11486486,-0.32819855,0.008545791,-0.24556063,4852.83
8.0,-0.9738172,-0.10135135,-0.28968763,0.079191,-0.22729579,8756.93
8.0,-0.8058912,-0.117117114,-0.29525033,-0.2885629,-0.5083714,5090.39
8.0,-0.96072507,-0.1599099,-0.36414206,-0.4030765,-0.7341451,4090.0698
8.0,-0.9199396,0.7117117,-0.22207959,-0.27204102,-0.49365804,7583.49
1.0,-0.723565,-0.2635135,0.010697476,0.27318045,-0.05175038,12338.6
8.0,-0.53625375,-0.2792793,0.020111253,-0.15012106,-0.36478946,16419.6
12.0,0.42547885,0.4572072,0.28754812,-0.22731805,-0.042110603,4195.88
5.0,0.1858006,0.4234234,0.26273,0.28970233,0.376966,13039.101
12.0,0.7416918,0.18693693,1.2019683,-0.35578978,-0.0644343,8921.46
12.0,0.683787,0.02027027,0.9593496,0.033898305,0.43328258,16963.9
12.0,0.683787,0.02027027,0.9593496,0.033898305,0.43328258,13474.399
4.0,0.09063444,1.8963964,0.60205394,0.056117363,0.080162354,11328.8
10.0,0.653071,-0.7545045,-0.6645272,-0.8842045,-0.6534754,0.0
8.0,0.03323263,-0.21396397,-0.5134788,-0.12305939,-0.14155251,18612.3
8.0,0.21299094,-0.16441442,-0.38425332,0.0367469,-0.00304414,12673.3
10.0,-0.9164154,-0.41666666,-0.7804878,-0.7611451,-0.5246068,8018.54
4.0,-0.055388205,1.1058558,0.39495078,0.23871243,0.29883307,12486.801
4.0,0.28247735,0.990991,1.4415917,0.6688506,0.9411466,17775.5
4.0,0.3247734,0.5923423,1.4257596,0.29226607,0.080162354,16610.5
10.0,0.38897282,-0.3310811,-0.8609328,-0.6603048,-0.7412481,7216.96
1.0,0.10422961,0.09234234,-0.6093282,0.29255092,0.17250127,13277.199
5.0,0.23942599,1.3265766,2.5002139,0.6597351,0.80466765,15066.801
8.0,-0.6404834,-0.30405405,-0.34189132,0.033043727,-0.09589041,0.0
12.0,0.6988927,-0.14414415,0.57766366,-0.57484686,-0.32825977,15400.899
12.0,0.31570998,0.22747748,0.8669234,-0.43298677,-0.38711315,14894.101
10.0,0.08081571,-0.5225225,-0.9503637,-1.2100841,-0.7295789,5993.8203
10.0,0.8912387,0.10810811,0.70988446,-0.4580544,-0.40943682,7584.6504
10.0,1.2492447,-0.9031532,-0.8451006,-1.0608176,-0.85134447,952.397
1.0,-0.20443052,2.195946,-0.23919556,0.90186584,0.38711315,19717.3
1.0,0.0407855,1.9797298,-0.096705176,0.46546075,0.1298833,6482.25
5.0,-0.07401813,0.6621622,0.45400086,0.17120068,0.14814815,14000.899
5.0,-0.2545317,-0.08558559,-0.15618314,0.28970233,-0.13597159,11583.5
8.0,-0.6112794,0.8558559,-0.11339324,-0.042728957,-0.5002537,7527.6504
1.0,-0.3470544,-0.25225225,-0.24133505,0.24754308,-0.10857433,15357.9
12.0,0.16993958,0.9301802,0.7783483,-0.18857713,-0.05936073,12941.0
5.0,-0.11178248,0.8400901,0.7047497,0.38256657,0.18214105,14596.0
10.0,1.0536253,-0.3626126,0.13649979,-0.52100843,-0.22374429,10034.9
12.0,1.0005665,-0.1554054,0.51818573,-0.57484686,-0.22678843,7741.0303
12.0,1.0005665,-0.1554054,0.51818573,-0.57484686,-0.22678843,8614.41
4.0,-0.3021148,1.7972972,0.54129225,0.18886198,-0.033992898,11123.199
10.0,0.70090634,-0.8558559,-0.830552,-0.98732376,-0.74530697,792.613
8.0,-0.21665968,-0.6171171,-0.39623448,-0.124768555,-0.1638762,9726.38
8.0,-0.13172235,-0.5855856,-0.34317502,0.112519585,-0.017250126,9238.61
10.0,-1.1404834,-0.6148649,-0.7479675,-0.79732233,-0.3561644,8947.23
4.0,-0.18957704,1.2815316,0.6166025,0.334995,0.28361237,16784.9
4.0,0.029456193,1.6486486,1.7004707,0.1378721,0.03500761,16704.0
4.0,0.3194864,0.23198198,1.3277706,0.13445379,0.27600202,22926.7
1.0,0.38746223,0.6081081,-0.76979035,0.33556473,0.12480974,16444.5
5.0,0.19297583,1.5292792,2.5241764,0.70160943,0.6428209,16210.301
8.0,-0.9259819,-0.38513514,-0.31236628,0.031049708,0.14611872,9498.4
12.0,0.3308157,0.19594595,0.85323066,-0.57085884,-0.30847284,16215.5
12.0,0.31268883,-0.10135135,0.42019683,-0.572568,-0.5251142,7101.44
10.0,0.16767372,-0.6238739,-1.2066752,-0.65289843,-0.5601218,5198.72
10.0,0.98225075,-0.0990991,0.92255026,-0.28884774,-0.29680365,5806.9297
10.0,1.05287,-0.7905405,-0.63457423,-1.1132318,-0.85438865,1884.4299
1.0,-0.831571,2.5990992,-0.053915277,0.9047144,0.49162862,20270.602
1.0,-0.39199397,2.3445945,0.007274283,0.5643071,0.2648402,8774.48
5.0,0.17673716,0.2454955,-0.20924261,0.1837345,0.046676815,12925.8
5.0,-0.38670695,0.15315315,-0.18314078,0.34354082,-0.032470826,11728.8
8.0,-0.46374622,0.22522523,-0.18784767,0.03874092,-0.28158295,4694.19
8.0,-0.99546826,0.7207207,-0.18528028,0.09884632,-0.35667175,6407.1504
12.0,0.5708716,0.5382883,0.13692768,-0.0925794,-0.145104,7233.15
5.0,0.28247735,0.43693694,0.035943516,0.3911124,0.32166412,12557.7
12.0,0.4592145,1.150901,2.1720154,-0.27944738,0.04870624,13219.8
4.0,-0.16012084,1.3513514,0.45742404,0.122489676,-0.07559615,12803.7
10.0,0.70694864,-0.8536036,-0.93367565,-0.9129754,-0.6357179,1622.58
